Date,Type,Name,Start,End,Duration
7/4/14,place,Place in Darmstadt,2014-07-04T12:53:43+02:00,2014-07-04T17:54:26+02:00,18043
7/4/14,move,walking,2014-07-04T17:54:26+02:00,2014-07-04T17:58:32+02:00,246
7/4/14,place,Place in Darmstadt,2014-07-04T17:58:32+02:00,2014-07-04T21:08:04+02:00,11372
7/4/14,move,walking,2014-07-04T21:08:04+02:00,2014-07-04T21:13:06+02:00,302
7/4/14,move,transport,2014-07-04T21:13:06+02:00,2014-07-04T21:27:09+02:00,843
7/4/14,move,walking,2014-07-04T21:27:09+02:00,2014-07-04T21:49:19+02:00,1330
7/4/14,place,Place in Luisenplatz,2014-07-04T21:49:20+02:00,2014-07-04T21:53:04+02:00,224
7/4/14,move,walking,2014-07-04T21:53:04+02:00,2014-07-04T21:59:35+02:00,391
7/4/14,place,Place in Friedensplatz,2014-07-04T21:59:35+02:00,2014-07-04T22:05:49+02:00,374
7/4/14,move,walking,2014-07-04T22:05:49+02:00,2014-07-04T22:10:21+02:00,272
7/4/14,place,Place in Friedensplatz,2014-07-04T22:10:21+02:00,2014-07-04T22:40:19+02:00,1798
7/4/14,move,walking,2014-07-04T22:40:19+02:00,2014-07-04T22:59:16+02:00,1137
7/4/14,move,transport,2014-07-04T22:59:16+02:00,2014-07-04T23:01:18+02:00,122
7/4/14,move,walking,2014-07-04T23:01:18+02:00,2014-07-04T23:06:48+02:00,330
7/4/14,place,Place in Darmstadt,2014-07-04T23:06:47+02:00,2014-07-04T23:56:40+02:00,2993
7/4/14,move,walking,2014-07-04T23:56:40+02:00,2014-07-05T00:00:00+02:00,200
7/5/14,move,walking,2014-07-05T00:00:00+02:00,2014-07-05T00:00:49+02:00,49
7/5/14,place,Place in Darmstadt,2014-07-05T00:00:48+02:00,2014-07-05T11:02:47+02:00,39719
7/5/14,move,cycling,2014-07-05T11:02:47+02:00,2014-07-05T11:09:05+02:00,378
7/5/14,place,Place in TU Darmstadt / S2,2014-07-05T11:09:05+02:00,2014-07-05T11:20:01+02:00,656
7/5/14,move,cycling,2014-07-05T11:20:01+02:00,2014-07-05T11:27:30+02:00,449
7/5/14,place,Place in Darmstadt,2014-07-05T11:27:30+02:00,2014-07-05T11:36:32+02:00,542
7/5/14,move,cycling,2014-07-05T11:36:32+02:00,2014-07-05T11:44:13+02:00,461
7/5/14,place,Place in TU Darmstadt / S2,2014-07-05T11:44:13+02:00,2014-07-05T17:29:14+02:00,20701
7/5/14,move,cycling,2014-07-05T17:29:14+02:00,2014-07-05T17:36:39+02:00,445
7/5/14,place,Place in Darmstadt,2014-07-05T17:36:40+02:00,2014-07-06T00:00:00+02:00,23000
7/6/14,place,Place in Darmstadt,2014-07-06T00:00:00+02:00,2014-07-07T00:00:00+02:00,86400
7/7/14,place,Place in Darmstadt,2014-07-07T00:00:00+02:00,2014-07-07T09:22:28+02:00,33748
7/7/14,move,walking,2014-07-07T09:22:28+02:00,2014-07-07T09:28:41+02:00,373
7/7/14,place,Place in Darmstadt,2014-07-07T09:28:41+02:00,2014-07-07T09:43:49+02:00,908
7/7/14,move,walking,2014-07-07T09:43:49+02:00,2014-07-07T09:52:16+02:00,507
7/7/14,place,KOM Lab,2014-07-07T09:52:16+02:00,2014-07-07T09:55:35+02:00,199
7/7/14,move,walking,2014-07-07T09:55:35+02:00,2014-07-07T10:05:22+02:00,587
7/7/14,place,Place in TU Darmstadt / S1,2014-07-07T10:05:22+02:00,2014-07-07T11:26:19+02:00,4857
7/7/14,move,walking,2014-07-07T11:26:19+02:00,2014-07-07T11:37:38+02:00,679
7/7/14,place,Place in TU Darmstadt,2014-07-07T11:37:38+02:00,2014-07-07T12:39:05+02:00,3687
7/7/14,move,walking,2014-07-07T12:39:05+02:00,2014-07-07T13:09:12+02:00,1807
7/7/14,place,Place in Darmstadt,2014-07-07T13:09:12+02:00,2014-07-07T22:33:17+02:00,33845
7/7/14,move,walking,2014-07-07T22:33:17+02:00,2014-07-07T22:55:50+02:00,1353
7/7/14,place,Place in Friedensplatz,2014-07-07T22:55:49+02:00,2014-07-07T23:13:27+02:00,1058
7/7/14,place,Place in Darmstadt,2014-07-07T23:13:27+02:00,2014-07-07T23:31:54+02:00,1107
7/7/14,move,walking,2014-07-07T23:31:54+02:00,2014-07-07T23:43:08+02:00,674
7/7/14,place,Place in Darmstadt,2014-07-07T23:43:08+02:00,2014-07-07T23:50:41+02:00,453
7/7/14,move,walking,2014-07-07T23:50:41+02:00,2014-07-07T23:59:59+02:00,558
7/8/14,move,walking,2014-07-08T00:00:00+02:00,2014-07-08T00:07:31+02:00,451
7/8/14,place,Place in Luisencenter,2014-07-08T00:07:31+02:00,2014-07-08T00:10:58+02:00,207
7/8/14,move,walking,2014-07-08T00:10:58+02:00,2014-07-08T00:14:37+02:00,219
7/8/14,move,transport,2014-07-08T00:14:37+02:00,2014-07-08T00:23:36+02:00,539
7/8/14,move,walking,2014-07-08T00:23:35+02:00,2014-07-08T00:35:20+02:00,705
