Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/30/14,walking,walking,2014-07-30T09:56:42+02:00,2014-07-30T09:56:44+02:00,2,0.002,3,0
7/30/14,walking,walking,2014-07-30T11:06:17+02:00,2014-07-30T11:09:45+02:00,208,0.227,303,0
7/30/14,walking,walking,2014-07-30T11:20:57+02:00,2014-07-30T11:25:09+02:00,252,0.402,335,0
7/30/14,walking,walking,2014-07-30T11:25:47+02:00,2014-07-30T11:26:27+02:00,40,0.030,59,0
7/30/14,walking,walking,2014-07-30T11:32:40+02:00,2014-07-30T11:34:50+02:00,130,0.188,234,0
7/30/14,walking,walking,2014-07-30T11:34:50+02:00,2014-07-30T11:35:34+02:00,44,0.025,51,0
7/30/14,walking,walking,2014-07-30T11:59:41+02:00,2014-07-30T12:10:10+02:00,629,0.837,1123,0
7/30/14,walking,walking,2014-07-30T12:10:14+02:00,2014-07-30T12:12:57+02:00,163,0.195,260,0
7/30/14,transport,transport,2014-07-30T12:25:05+02:00,2014-07-30T12:31:38+02:00,393,1.580,0,0
7/30/14,walking,walking,2014-07-30T12:31:39+02:00,2014-07-30T12:36:44+02:00,305,0.224,448,0
7/30/14,walking,walking,2014-07-30T12:38:48+02:00,2014-07-30T12:46:45+02:00,477,0.494,658,0
7/30/14,walking,walking,2014-07-30T13:00:00+02:00,2014-07-30T13:00:33+02:00,33,0.022,43,0
7/30/14,transport,transport,2014-07-30T13:07:27+02:00,2014-07-30T13:23:50+02:00,983,3.290,0,0
7/30/14,walking,walking,2014-07-30T13:23:50+02:00,2014-07-30T13:28:48+02:00,298,0.397,528,0
7/30/14,walking,walking,2014-07-30T13:28:49+02:00,2014-07-30T13:29:00+02:00,11,0.007,15,0
7/30/14,walking,walking,2014-07-30T17:25:27+02:00,2014-07-30T17:34:04+02:00,517,0.609,812,0
7/30/14,walking,walking,2014-07-30T20:07:34+02:00,2014-07-30T20:08:00+02:00,26,0.016,32,0
7/30/14,cycling,cycling,2014-07-30T20:08:38+02:00,2014-07-30T20:36:38+02:00,1680,5.729,0,0
7/30/14,walking,walking,2014-07-30T20:36:37+02:00,2014-07-30T20:38:47+02:00,130,0.141,187,0
7/30/14,walking,walking,2014-07-30T23:37:54+02:00,2014-07-30T23:38:24+02:00,30,0.015,30,0
7/31/14,walking,walking,2014-07-31T09:01:30+02:00,2014-07-31T09:02:12+02:00,42,0.028,56,0
7/31/14,walking,walking,2014-07-31T09:04:05+02:00,2014-07-31T09:08:01+02:00,236,0.312,464,0
7/31/14,transport,transport,2014-07-31T09:08:01+02:00,2014-07-31T09:13:06+02:00,305,0.799,0,0
7/31/14,walking,walking,2014-07-31T09:13:06+02:00,2014-07-31T09:22:32+02:00,566,0.674,949,0
7/31/14,walking,walking,2014-07-31T09:22:47+02:00,2014-07-31T09:22:49+02:00,2,0.001,2,0
7/31/14,walking,walking,2014-07-31T10:42:52+02:00,2014-07-31T10:47:08+02:00,256,0.323,431,0
7/31/14,walking,walking,2014-07-31T10:47:57+02:00,2014-07-31T10:50:41+02:00,164,0.361,301,0
7/31/14,walking,walking,2014-07-31T10:51:00+02:00,2014-07-31T10:58:07+02:00,427,0.527,703,0
7/31/14,walking,walking,2014-07-31T11:00:00+02:00,2014-07-31T11:00:02+02:00,2,0.002,3,0
7/31/14,walking,walking,2014-07-31T11:05:34+02:00,2014-07-31T11:17:16+02:00,702,0.886,1172,0
7/31/14,walking,walking,2014-07-31T11:17:16+02:00,2014-07-31T11:17:40+02:00,24,0.018,37,0
7/31/14,walking,walking,2014-07-31T12:38:13+02:00,2014-07-31T12:46:11+02:00,478,0.681,619,0
7/31/14,walking,walking,2014-07-31T12:46:10+02:00,2014-07-31T12:46:14+02:00,4,0.003,6,0
7/31/14,walking,walking,2014-07-31T13:09:11+02:00,2014-07-31T13:11:32+02:00,141,0.143,190,0
7/31/14,walking,walking,2014-07-31T13:24:33+02:00,2014-07-31T13:28:48+02:00,255,0.502,418,0
7/31/14,walking,walking,2014-07-31T13:55:50+02:00,2014-07-31T13:56:59+02:00,69,0.039,78,0
7/31/14,walking,walking,2014-07-31T13:58:17+02:00,2014-07-31T14:04:44+02:00,387,0.440,643,0
7/31/14,walking,walking,2014-07-31T14:04:44+02:00,2014-07-31T14:07:49+02:00,185,0.205,273,0
7/31/14,walking,walking,2014-07-31T14:11:44+02:00,2014-07-31T14:26:40+02:00,896,1.302,1604,0
7/31/14,walking,walking,2014-07-31T14:26:39+02:00,2014-07-31T14:27:25+02:00,46,0.034,67,0
7/31/14,walking,walking,2014-07-31T18:29:58+02:00,2014-07-31T18:33:16+02:00,198,0.219,292,0
7/31/14,walking,walking,2014-07-31T18:44:18+02:00,2014-07-31T18:47:58+02:00,220,0.251,346,0
7/31/14,walking,walking,2014-07-31T18:47:58+02:00,2014-07-31T18:48:08+02:00,10,0.008,16,0
7/31/14,walking,walking,2014-07-31T19:28:45+02:00,2014-07-31T19:31:25+02:00,160,0.216,291,0
7/31/14,walking,walking,2014-07-31T19:31:25+02:00,2014-07-31T19:32:09+02:00,44,0.032,63,0
7/31/14,walking,walking,2014-07-31T21:35:56+02:00,2014-07-31T21:36:26+02:00,30,0.015,20,0
7/31/14,walking,walking,2014-07-31T21:45:21+02:00,2014-07-31T21:50:32+02:00,311,0.272,544,0
7/31/14,walking,walking,2014-07-31T21:50:40+02:00,2014-07-31T21:50:46+02:00,6,0.004,8,0
7/31/14,walking,walking,2014-07-31T22:02:47+02:00,2014-07-31T22:03:02+02:00,15,0.010,20,0
7/31/14,walking,walking,2014-07-31T22:51:44+02:00,2014-07-31T22:55:53+02:00,249,0.227,454,0
7/31/14,walking,walking,2014-07-31T22:55:53+02:00,2014-07-31T22:55:59+02:00,6,0.006,12,0
7/31/14,walking,walking,2014-07-31T23:15:38+02:00,2014-07-31T23:18:39+02:00,181,0.227,302,0
8/1/14,walking,walking,2014-08-01T08:27:19+02:00,2014-08-01T08:28:26+02:00,67,0.045,90,0
8/1/14,walking,walking,2014-08-01T08:30:04+02:00,2014-08-01T08:35:19+02:00,315,0.358,542,0
8/1/14,walking,walking,2014-08-01T08:35:27+02:00,2014-08-01T08:35:28+02:00,1,0.001,1,0
8/1/14,transport,transport,2014-08-01T08:39:29+02:00,2014-08-01T08:55:01+02:00,932,3.537,0,0
8/1/14,walking,walking,2014-08-01T08:55:02+02:00,2014-08-01T09:02:49+02:00,467,0.622,835,0
8/1/14,walking,walking,2014-08-01T09:02:48+02:00,2014-08-01T09:06:48+02:00,240,0.199,398,0
8/1/14,walking,walking,2014-08-01T09:07:28+02:00,2014-08-01T09:07:33+02:00,5,0.004,7,0
8/1/14,walking,walking,2014-08-01T13:22:58+02:00,2014-08-01T13:23:36+02:00,38,0.021,41,0
8/1/14,walking,walking,2014-08-01T13:24:48+02:00,2014-08-01T13:35:33+02:00,645,0.474,896,0
8/1/14,walking,walking,2014-08-01T13:39:00+02:00,2014-08-01T13:39:46+02:00,46,0.026,52,0
8/1/14,transport,transport,2014-08-01T13:40:05+02:00,2014-08-01T13:54:55+02:00,890,3.609,0,0
8/1/14,walking,walking,2014-08-01T13:54:55+02:00,2014-08-01T14:03:31+02:00,516,0.550,781,0
8/1/14,walking,walking,2014-08-01T14:03:31+02:00,2014-08-01T14:04:17+02:00,46,0.034,67,0
8/2/14,walking,walking,2014-08-02T01:21:39+02:00,2014-08-02T01:22:09+02:00,30,0.015,31,0
8/2/14,walking,walking,2014-08-02T09:19:03+02:00,2014-08-02T09:19:14+02:00,11,0.008,15,0
8/2/14,walking,walking,2014-08-02T12:35:52+02:00,2014-08-02T12:36:34+02:00,42,0.029,58,0
8/2/14,walking,walking,2014-08-02T13:10:38+02:00,2014-08-02T13:13:05+02:00,147,0.165,221,0
8/2/14,walking,walking,2014-08-02T13:13:59+02:00,2014-08-02T13:20:35+02:00,396,0.641,659,0
8/2/14,walking,walking,2014-08-02T13:20:50+02:00,2014-08-02T13:22:44+02:00,114,0.077,153,0
8/2/14,walking,walking,2014-08-02T13:31:56+02:00,2014-08-02T13:40:10+02:00,494,0.500,836,0
8/2/14,walking,walking,2014-08-02T13:40:10+02:00,2014-08-02T13:43:20+02:00,190,0.203,270,0
8/2/14,walking,walking,2014-08-02T14:00:00+02:00,2014-08-02T14:01:57+02:00,117,0.090,180,0
8/2/14,walking,walking,2014-08-02T15:25:31+02:00,2014-08-02T15:26:01+02:00,30,0.015,20,0
8/2/14,walking,walking,2014-08-02T16:18:14+02:00,2014-08-02T16:22:17+02:00,243,0.286,382,0
8/2/14,walking,walking,2014-08-02T18:13:12+02:00,2014-08-02T18:13:54+02:00,42,0.028,56,0
8/2/14,walking,walking,2014-08-02T18:25:41+02:00,2014-08-02T18:30:14+02:00,273,0.257,513,0
8/2/14,transport,transport,2014-08-02T18:30:14+02:00,2014-08-02T18:40:16+02:00,602,2.009,0,0
8/2/14,walking,walking,2014-08-02T18:40:16+02:00,2014-08-02T18:45:54+02:00,338,0.519,656,0
8/2/14,transport,transport,2014-08-02T18:45:54+02:00,2014-08-02T18:53:14+02:00,440,1.520,0,0
8/2/14,walking,walking,2014-08-02T18:53:15+02:00,2014-08-02T18:54:55+02:00,100,0.117,160,0
8/2/14,walking,walking,2014-08-02T18:54:54+02:00,2014-08-02T18:55:54+02:00,60,0.079,105,0
8/2/14,walking,walking,2014-08-02T18:55:54+02:00,2014-08-02T18:56:22+02:00,28,0.020,40,0
8/2/14,walking,walking,2014-08-02T21:01:22+02:00,2014-08-02T21:04:04+02:00,162,0.174,232,0
8/2/14,walking,walking,2014-08-02T21:39:25+02:00,2014-08-02T22:15:16+02:00,2151,2.344,3474,0
8/2/14,transport,transport,2014-08-02T22:15:16+02:00,2014-08-02T22:24:15+02:00,539,1.924,0,0
8/2/14,walking,walking,2014-08-02T22:24:15+02:00,2014-08-02T22:29:56+02:00,341,0.303,571,0
8/2/14,walking,walking,2014-08-02T22:29:55+02:00,2014-08-02T22:30:30+02:00,35,0.024,47,0
8/2/14,walking,walking,2014-08-02T23:07:34+02:00,2014-08-02T23:08:18+02:00,44,0.030,59,0
8/3/14,walking,walking,2014-08-03T00:15:32+02:00,2014-08-03T00:15:36+02:00,4,0.003,5,0
8/3/14,walking,walking,2014-08-03T02:29:38+02:00,2014-08-03T02:30:08+02:00,30,0.015,30,0
8/3/14,walking,walking,2014-08-03T10:00:15+02:00,2014-08-03T10:00:25+02:00,10,0.007,14,0
8/3/14,walking,walking,2014-08-03T10:02:03+02:00,2014-08-03T10:06:33+02:00,270,0.305,468,0
8/3/14,transport,transport,2014-08-03T10:06:33+02:00,2014-08-03T10:23:29+02:00,1016,3.553,0,0
8/3/14,walking,walking,2014-08-03T10:23:29+02:00,2014-08-03T10:27:10+02:00,221,0.311,414,0
